fixing;fixing_1_volume;hour;date;Krajowe zapotrzebowanie na moc;Suma zdolności wytwórczych JWCD;Suma zdolności wytwórczych nJWCD;Generacja JWCD;Generacja nJWCD;Generacja źródeł wiatrowych;Wymagana rezerwa mocy ponad zapotrzebowanie
70.5;2582.7;0;2017-12-25;14250;22290;11171;4067;10183;5053;1285
70.03;2672.5;1;2017-12-25;13450;22290;11087;3353;10097;4972;1213
70.03;2439.4;2;2017-12-25;12913;22290;10963;2945;9968;4852;1164
70.03;2370;3;2017-12-25;12575;22290;10846;2724;9851;4736;1134
70.03;2378.7;4;2017-12-25;12475;22290;10687;2785;9690;4582;1125
70.03;2568.2;5;2017-12-25;12588;22290;10494;3094;9494;4407;1135
70.03;2660.8;6;2017-12-25;12800;22290;10335;3459;9341;4249;1154
70.2;2721.7;7;2017-12-25;12950;22290;10241;3699;9251;4148;1168
72;2729.1;8;2017-12-25;13413;22290;10187;4224;9189;4055;1209
88.78;2262.6;9;2017-12-25;14275;22290;10101;5172;9103;3966;1287
93.14;2163.8;10;2017-12-25;14850;22290;10090;5758;9092;3950;1339
100.11;2120.7;11;2017-12-25;15088;22290;10100;5986;9102;3959;1360
108;2069.3;12;2017-12-25;15163;22290;10099;6062;9101;3958;1367
114;2032.7;13;2017-12-25;15225;22290;10017;6206;9019;3880;1373
114.23;1992.7;14;2017-12-25;15175;22290;9891;6282;8893;3750;1368
115.83;2113.3;15;2017-12-25;15575;22290;9767;6806;8769;3624;1404
118.8;2337;16;2017-12-25;16463;22290;9661;7798;8665;3487;1484
120;2242.7;17;2017-12-25;16638;22290;9530;8108;8530;3348;1500
122.64;2333.2;18;2017-12-25;16700;22290;9395;8300;8400;3209;1505
125.89;2283.1;19;2017-12-25;16850;22290;9222;8611;8239;3045;1519
125.68;2301.9;20;2017-12-25;16750;22290;9053;8676;8074;2872;1510
121;2252.7;21;2017-12-25;16238;22290;8884;8321;7917;2709;1464
118.8;2186.6;22;2017-12-25;15688;22290;8713;7939;7749;2556;1414
105;2032.3;23;2017-12-25;14675;22290;8551;7092;7583;2400;1323
